timestamp,hr,hrv,gsr
391419,47.92,145.75,0.83
392420,47.92,145.75,0.84
402430,116.61,145.75,0.85
403431,146.32,150.02,0.85
404432,98.29,150.02,0.85
405433,85.40,150.02,0.85
406434,96.36,150.02,0.85
407435,85.54,150.02,0.85
408436,85.54,150.02,0.85
410438,98.84,145.00,0.84
411439,82.06,145.00,0.84
412440,82.06,145.00,0.84
413441,125.40,145.00,0.83
414442,134.16,152.39,0.83
415443,124.98,140.00,0.83
416444,95.60,143.02,0.83
417445,81.81,143.02,0.83
418446,54.47,143.02,0.83
419447,54.47,143.02,0.82
420448,48.28,143.02,0.82
421449,48.28,143.02,0.82
422450,42.52,143.02,0.82
423451,62.39,134.21,0.82
424452,62.39,134.21,0.81
425453,60.26,134.85,0.81
426454,60.26,134.85,0.81
427455,41.11,134.85,0.81
428456,44.46,134.85,0.81
429457,63.19,129.44,0.80
430458,72.10,129.63,0.80
431459,72.10,129.63,0.80
434462,46.30,129.63,0.80
435463,58.17,134.66,0.80
436464,51.19,134.66,0.80
437465,132.84,138.75,0.80
438466,93.01,138.75,0.80
439467,71.70,138.75,0.80
440468,71.70,138.75,0.80
442470,68.35,146.01,0.80
443471,66.26,146.01,0.80
444472,47.36,146.01,0.80
445473,47.36,146.01,0.80
447475,52.65,146.01,0.80
448476,52.65,146.01,0.80
450478,53.87,146.01,0.79
451479,53.87,146.01,0.79
452480,46.30,146.01,0.79
453481,75.98,146.01,0.79
454482,75.98,146.01,0.79
455483,73.19,134.00,0.80
456484,73.19,134.00,0.80
457485,100.91,134.00,0.80
458486,100.91,134.00,0.80
460488,55.07,141.87,0.80
461489,55.07,141.87,0.80
462490,58.12,138.43,0.80
463491,74.01,138.71,0.79
464492,74.01,138.71,0.79
465493,44.23,138.71,0.79
466494,68.15,135.33,0.79
467495,81.97,137.60,0.79
468496,81.97,137.60,0.79
469497,56.61,143.10,0.79
470498,70.89,139.21,0.79
471499,70.89,139.21,0.79
473501,61.17,135.10,0.79
474502,50.23,135.10,0.79
475503,50.23,135.10,0.79
476504,58.90,135.53,0.79
477505,79.93,132.13,0.79
478506,79.93,132.13,0.79
483511,53.15,132.13,0.79
485513,98.55,136.74,0.79
486514,98.55,136.74,0.78
487515,41.91,136.74,0.78
488516,41.91,136.74,0.78
490518,51.87,135.02,0.78
491519,51.87,135.02,0.78
493521,60.98,134.59,0.78
494522,77.52,134.06,0.78
495523,70.42,134.06,0.78
496524,58.01,134.06,0.78
497525,72.80,133.82,0.78
498526,85.30,147.60,0.77
499527,165.73,147.60,0.77
500528,125.86,147.60,0.77
501529,95.07,147.49,0.77
502530,53.54,147.49,0.77
503531,117.15,165.27,0.77
504532,117.15,165.27,0.77
506534,55.16,165.27,0.76
507535,55.16,165.27,0.76
509537,64.93,171.30,0.76
510538,55.19,171.30,0.76
511539,59.57,171.30,0.75
512540,94.92,171.30,0.75
513541,94.92,171.30,0.75
514542,57.76,171.30,0.75
515543,107.13,171.30,0.74
516544,58.81,171.30,0.74
517545,99.08,149.11,0.73
518546,99.08,149.11,0.73
519547,42.31,149.11,0.73
520548,70.55,137.01,0.73
521549,72.24,137.01,0.72
